from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
nips,coling,2004,1992,1,16
nips,coling,2004,2000,1,51
nips,coling,2004,2002,3,98
nips,coling,2006,1996,1,32
nips,coling,2006,2004,1,127
nips,coling,2007,1996,1,25
nips,coling,2007,2006,6,167
nips,coling,2008,1992,1,17
nips,coling,2008,2004,1,112
nips,coling,2008,2006,2,178
nips,coling,2009,2006,2,250
nips,coling,2010,1996,1,30
nips,coling,2010,2006,2,183
nips,coling,2011,2002,1,64
nips,coling,2011,2004,1,115
nips,coling,2011,2006,3,181
nips,coling,2012,1996,1,39
nips,coling,2012,2002,1,86
nips,coling,2012,2006,3,179
nips,coling,2012,2008,1,231
nips,coling,2013,2006,2,174
nips,coling,2013,2012,1,468
nips,coling,2014,1996,1,31
nips,coling,2014,2006,2,167
nips,coling,2014,2010,3,281
nips,coling,2014,2012,1,433
