from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
nips,iccv,1998,1990,1,25
nips,iccv,1998,1995,1,41
nips,iccv,1999,1993,1,13
nips,iccv,1999,1995,1,32
nips,iccv,1999,1998,1,38
nips,iccv,2000,1998,1,36
nips,iccv,2001,1998,1,63
nips,iccv,2001,1999,2,66
nips,iccv,2002,1998,1,29
nips,iccv,2002,1999,2,48
nips,iccv,2002,2001,1,48
nips,iccv,2003,1990,1,12
nips,iccv,2003,1995,4,37
nips,iccv,2003,1999,5,78
nips,iccv,2003,2001,6,142
nips,iccv,2004,1990,1,13
nips,iccv,2004,1999,2,48
nips,iccv,2004,2001,4,77
nips,iccv,2004,2003,8,141
nips,iccv,2005,1990,1,7
nips,iccv,2005,1998,1,32
nips,iccv,2005,1999,3,56
nips,iccv,2005,2003,7,138
nips,iccv,2006,1988,1,10
nips,iccv,2006,1998,2,36
nips,iccv,2006,1999,3,43
nips,iccv,2006,2001,2,74
nips,iccv,2006,2003,7,126
nips,iccv,2006,2005,4,114
nips,iccv,2007,1995,1,20
nips,iccv,2007,1999,5,45
nips,iccv,2007,2001,1,73
nips,iccv,2007,2003,8,116
nips,iccv,2007,2005,12,190
nips,iccv,2008,1995,2,24
nips,iccv,2008,2001,1,71
nips,iccv,2008,2003,6,107
nips,iccv,2008,2005,12,143
nips,iccv,2008,2007,14,170
nips,iccv,2009,1999,4,68
nips,iccv,2009,2001,1,81
nips,iccv,2009,2003,8,171
nips,iccv,2009,2005,8,177
nips,iccv,2009,2007,9,284
nips,iccv,2010,1999,2,51
nips,iccv,2010,2001,1,68
nips,iccv,2010,2003,9,119
nips,iccv,2010,2005,5,139
nips,iccv,2010,2007,11,215
nips,iccv,2010,2009,21,315
nips,iccv,2011,1999,1,37
nips,iccv,2011,2003,5,100
nips,iccv,2011,2005,5,120
nips,iccv,2011,2007,6,165
nips,iccv,2011,2009,20,311
nips,iccv,2012,1999,1,54
nips,iccv,2012,2003,4,113
nips,iccv,2012,2005,6,145
nips,iccv,2012,2007,14,229
nips,iccv,2012,2009,19,319
nips,iccv,2012,2011,24,353
nips,iccv,2013,1998,1,34
nips,iccv,2013,1999,1,45
nips,iccv,2013,2001,2,51
nips,iccv,2013,2003,3,102
nips,iccv,2013,2005,2,113
nips,iccv,2013,2007,10,174
nips,iccv,2013,2009,10,263
nips,iccv,2013,2011,15,336
nips,iccv,2013,2012,1,468
nips,iccv,2014,1998,2,53
nips,iccv,2014,1999,1,37
nips,iccv,2014,2001,3,75
nips,iccv,2014,2003,10,100
nips,iccv,2014,2005,5,144
nips,iccv,2014,2007,5,163
nips,iccv,2014,2009,11,270
nips,iccv,2014,2011,23,314
nips,iccv,2014,2013,22,504
nips,iccv,2015,2007,1,4
