from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
nips,iconip,1998,1992,1,35
nips,iconip,1998,1996,2,40
nips,iconip,2000,1996,1,30
nips,iconip,2000,1997,1,22
nips,iconip,2000,1999,1,23
nips,iconip,2001,1992,1,22
nips,iconip,2001,1996,1,42
nips,iconip,2003,1996,2,41
nips,iconip,2004,2002,1,98
nips,iconip,2007,2005,1,190
nips,iconip,2010,2008,1,266
nips,iconip,2010,2009,1,315
nips,iconip,2011,2007,2,165
nips,iconip,2011,2008,1,252
nips,iconip,2011,2009,1,311
nips,iconip,2012,1992,1,34
nips,iconip,2012,2002,1,86
nips,iconip,2012,2006,1,179
nips,iconip,2012,2010,1,359
