from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
nips,nips,1989,1988,2,12
nips,nips,1990,1988,2,14
nips,nips,1990,1989,7,21
nips,nips,1991,1989,2,5
nips,nips,1991,1990,2,9
nips,nips,1992,1988,2,8
nips,nips,1992,1989,1,12
nips,nips,1992,1990,9,29
nips,nips,1992,1991,1,23
nips,nips,1993,1989,1,4
nips,nips,1993,1990,3,5
nips,nips,1993,1992,1,8
nips,nips,1994,1990,4,12
nips,nips,1994,1992,7,23
nips,nips,1994,1993,1,13
nips,nips,1995,1989,2,7
nips,nips,1995,1990,5,15
nips,nips,1995,1991,1,10
nips,nips,1995,1992,11,30
nips,nips,1995,1994,9,27
nips,nips,1996,1988,2,8
nips,nips,1996,1990,8,15
nips,nips,1996,1992,7,22
nips,nips,1996,1993,2,12
nips,nips,1996,1994,5,20
nips,nips,1996,1995,9,26
nips,nips,1997,1988,1,4
nips,nips,1997,1989,1,10
nips,nips,1997,1992,7,19
nips,nips,1997,1993,3,8
nips,nips,1997,1994,4,33
nips,nips,1997,1995,12,40
nips,nips,1997,1996,11,19
nips,nips,1998,1988,2,8
nips,nips,1998,1989,1,23
nips,nips,1998,1990,4,25
nips,nips,1998,1991,1,25
nips,nips,1998,1992,5,35
nips,nips,1998,1994,3,33
nips,nips,1998,1995,8,41
nips,nips,1998,1996,6,40
nips,nips,1998,1997,13,33
nips,nips,1999,1990,1,11
nips,nips,1999,1992,2,17
nips,nips,1999,1994,2,14
nips,nips,1999,1995,7,32
nips,nips,1999,1996,5,31
nips,nips,1999,1997,5,27
nips,nips,1999,1998,6,38
nips,nips,2000,1989,1,6
nips,nips,2000,1990,1,8
nips,nips,2000,1992,1,14
nips,nips,2000,1994,3,14
nips,nips,2000,1995,3,21
nips,nips,2000,1996,6,30
nips,nips,2000,1997,4,22
nips,nips,2000,1998,8,36
nips,nips,2000,1999,12,23
nips,nips,2001,1989,2,7
nips,nips,2001,1990,5,16
nips,nips,2001,1991,1,10
nips,nips,2001,1992,3,22
nips,nips,2001,1993,1,17
nips,nips,2001,1994,3,22
nips,nips,2001,1995,4,23
nips,nips,2001,1996,7,42
nips,nips,2001,1997,6,44
nips,nips,2001,1998,12,63
nips,nips,2001,1999,12,66
nips,nips,2001,2000,23,69
nips,nips,2002,1990,1,9
nips,nips,2002,1991,1,6
nips,nips,2002,1992,3,18
nips,nips,2002,1994,2,20
nips,nips,2002,1995,3,18
nips,nips,2002,1996,4,31
nips,nips,2002,1997,5,37
nips,nips,2002,1998,2,29
nips,nips,2002,1999,7,48
