from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
nips,uai,1996,1990,1,15
nips,uai,1997,1994,2,33
nips,uai,1999,1990,1,11
nips,uai,1999,1997,1,27
nips,uai,1999,1998,1,38
nips,uai,2000,1995,1,21
nips,uai,2000,1998,1,36
nips,uai,2000,1999,1,23
nips,uai,2001,1990,1,16
nips,uai,2001,1996,1,42
nips,uai,2001,1998,2,63
nips,uai,2001,1999,3,66
nips,uai,2001,2000,4,69
nips,uai,2002,1994,3,20
nips,uai,2002,1998,1,29
nips,uai,2002,1999,2,48
nips,uai,2002,2000,4,71
nips,uai,2002,2001,1,48
nips,uai,2003,1990,1,12
nips,uai,2003,1994,2,30
nips,uai,2003,1995,1,37
nips,uai,2003,1998,2,59
nips,uai,2003,1999,3,78
nips,uai,2003,2000,8,90
nips,uai,2003,2001,4,142
nips,uai,2003,2002,3,115
nips,uai,2004,1994,2,16
nips,uai,2004,1998,2,39
nips,uai,2004,1999,3,48
nips,uai,2004,2000,2,51
nips,uai,2004,2001,2,77
nips,uai,2004,2002,5,98
nips,uai,2004,2003,2,141
nips,uai,2005,1998,1,32
nips,uai,2005,1999,2,56
nips,uai,2005,2000,2,56
nips,uai,2005,2001,2,77
nips,uai,2005,2002,1,79
nips,uai,2005,2004,3,95
nips,uai,2006,1990,1,8
nips,uai,2006,1996,1,32
nips,uai,2006,1999,2,43
nips,uai,2006,2000,3,49
nips,uai,2006,2002,6,74
nips,uai,2006,2003,2,126
nips,uai,2006,2004,1,127
nips,uai,2007,1990,1,10
nips,uai,2007,1996,1,25
nips,uai,2007,1998,2,40
nips,uai,2007,1999,3,45
nips,uai,2007,2000,2,57
nips,uai,2007,2001,3,73
nips,uai,2007,2002,6,92
nips,uai,2007,2003,1,116
nips,uai,2007,2004,5,128
nips,uai,2008,1988,1,15
nips,uai,2008,1996,1,30
nips,uai,2008,1998,2,42
nips,uai,2008,1999,1,43
nips,uai,2008,2001,1,71
nips,uai,2008,2002,5,78
nips,uai,2008,2004,3,112
nips,uai,2008,2005,1,143
nips,uai,2008,2006,2,178
nips,uai,2008,2007,1,170
nips,uai,2009,1992,1,32
nips,uai,2009,1994,2,33
nips,uai,2009,1995,1,49
nips,uai,2009,1997,2,59
nips,uai,2009,1998,2,49
nips,uai,2009,1999,2,68
nips,uai,2009,2000,3,75
nips,uai,2009,2001,1,81
nips,uai,2009,2002,5,97
nips,uai,2009,2003,1,171
nips,uai,2009,2004,2,181
nips,uai,2009,2006,1,250
nips,uai,2009,2008,1,297
nips,uai,2010,1995,2,27
nips,uai,2010,1996,1,30
nips,uai,2010,1997,1,28
nips,uai,2010,1998,1,41
nips,uai,2010,1999,2,51
nips,uai,2010,2000,3,42
nips,uai,2010,2001,5,68
nips,uai,2010,2002,2,71
nips,uai,2010,2003,1,119
nips,uai,2010,2004,5,124
nips,uai,2010,2005,1,139
nips,uai,2010,2006,1,183
nips,uai,2010,2008,1,266
nips,uai,2010,2009,9,315
nips,uai,2011,1994,1,21
nips,uai,2011,1995,2,17
nips,uai,2011,1996,1,25
nips,uai,2011,1997,1,28
nips,uai,2011,1998,4,37
nips,uai,2011,1999,2,37
nips,uai,2011,2000,5,54
nips,uai,2011,2001,2,52
nips,uai,2011,2002,5,64
nips,uai,2011,2004,1,115
nips,uai,2011,2006,2,181
nips,uai,2011,2007,1,165
nips,uai,2011,2009,6,311
nips,uai,2012,1995,1,34
nips,uai,2012,1996,1,39
nips,uai,2012,1998,2,55
nips,uai,2012,1999,3,54
nips,uai,2012,2001,2,70
nips,uai,2012,2002,5,86
nips,uai,2012,2004,3,125
nips,uai,2012,2005,1,145
nips,uai,2012,2006,1,179
nips,uai,2012,2007,1,229
nips,uai,2012,2009,7,319
nips,uai,2012,2011,3,353
nips,uai,2013,1990,1,15
nips,uai,2013,1994,1,27
nips,uai,2013,1998,1,34
nips,uai,2013,1999,2,45
nips,uai,2013,2000,5,72
nips,uai,2013,2001,2,51
nips,uai,2013,2002,1,67
nips,uai,2013,2004,4,117
nips,uai,2013,2006,2,174
nips,uai,2013,2007,1,174
nips,uai,2013,2009,3,263
nips,uai,2013,2011,3,336
nips,uai,2013,2012,21,468
nips,uai,2014,1990,2,13
nips,uai,2014,1994,1,20
nips,uai,2014,1995,2,38
nips,uai,2014,1997,1,36
nips,uai,2014,1998,1,53
nips,uai,2014,1999,2,37
nips,uai,2014,2000,4,58
nips,uai,2014,2001,2,75
nips,uai,2014,2002,1,68
nips,uai,2014,2004,5,93
nips,uai,2014,2005,1,144
nips,uai,2014,2009,6,270
nips,uai,2014,2012,20,433
nips,uai,2014,2013,5,504
nips,uai,2015,1998,1,3
nips,uai,2015,2012,1,8
