from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
pricai,aaai,1996,1983,1,4
pricai,aaai,1996,1986,2,15
pricai,aaai,1996,1987,4,19
pricai,aaai,1996,1988,4,25
pricai,aaai,1996,1990,6,41
pricai,aaai,1996,1991,1,35
pricai,aaai,1996,1992,4,43
pricai,aaai,1996,1993,4,46
pricai,aaai,1996,1994,2,56
pricai,aaai,1997,1990,1,2
pricai,aaai,1998,1983,1,6
pricai,aaai,1998,1986,2,7
pricai,aaai,1998,1987,1,15
pricai,aaai,1998,1988,1,10
pricai,aaai,1998,1990,2,27
pricai,aaai,1998,1991,1,12
pricai,aaai,1998,1992,2,32
pricai,aaai,1998,1994,3,27
pricai,aaai,1998,1996,4,49
pricai,aaai,1998,1997,3,38
pricai,aaai,2000,1984,1,6
pricai,aaai,2000,1987,1,16
pricai,aaai,2000,1988,2,14
pricai,aaai,2000,1992,3,29
pricai,aaai,2000,1993,3,44
pricai,aaai,2000,1994,3,47
pricai,aaai,2000,1996,5,65
pricai,aaai,2000,1997,1,61
pricai,aaai,2000,1998,6,84
pricai,aaai,2000,1999,7,81
pricai,aaai,2002,1987,1,4
pricai,aaai,2002,1988,2,7
pricai,aaai,2002,1992,1,12
pricai,aaai,2002,1993,1,18
pricai,aaai,2002,1994,4,25
pricai,aaai,2002,1996,5,26
pricai,aaai,2002,1997,2,37
pricai,aaai,2002,1998,4,30
pricai,aaai,2002,1999,1,25
pricai,aaai,2002,2000,2,50
pricai,aaai,2004,1986,1,5
pricai,aaai,2004,1987,1,5
pricai,aaai,2004,1988,3,10
pricai,aaai,2004,1990,1,11
pricai,aaai,2004,1991,2,15
pricai,aaai,2004,1992,1,14
pricai,aaai,2004,1994,3,25
pricai,aaai,2004,1996,1,25
pricai,aaai,2004,1997,1,29
pricai,aaai,2004,1999,1,55
pricai,aaai,2004,2002,1,54
pricai,aaai,2006,1992,1,23
pricai,aaai,2006,1993,1,24
pricai,aaai,2006,1994,2,32
pricai,aaai,2006,1997,1,47
pricai,aaai,2006,1998,3,57
pricai,aaai,2006,1999,3,71
pricai,aaai,2006,2000,1,69
pricai,aaai,2006,2001,1,74
pricai,aaai,2006,2002,2,117
pricai,aaai,2006,2003,1,97
pricai,aaai,2006,2005,1,78
pricai,aaai,2008,1983,1,2
pricai,aaai,2008,1987,2,6
pricai,aaai,2008,1992,1,18
pricai,aaai,2008,1994,1,12
pricai,aaai,2008,1996,2,18
pricai,aaai,2008,1997,1,33
pricai,aaai,2008,1998,2,32
pricai,aaai,2008,1999,1,31
pricai,aaai,2008,2000,2,46
pricai,aaai,2008,2002,3,67
pricai,aaai,2008,2004,3,66
pricai,aaai,2008,2005,1,65
pricai,aaai,2008,2006,4,85
pricai,aaai,2008,2007,3,74
pricai,aaai,2010,1993,1,8
pricai,aaai,2010,1999,1,27
pricai,aaai,2010,2000,1,24
pricai,aaai,2010,2005,2,41
pricai,aaai,2010,2006,3,46
pricai,aaai,2010,2007,6,66
pricai,aaai,2010,2008,2,68
pricai,aaai,2012,1986,1,4
pricai,aaai,2012,1997,2,18
pricai,aaai,2012,2002,2,40
pricai,aaai,2012,2004,1,44
pricai,aaai,2012,2005,1,52
pricai,aaai,2012,2006,4,50
pricai,aaai,2012,2007,2,60
pricai,aaai,2012,2008,2,60
pricai,aaai,2012,2010,3,72
pricai,aaai,2014,1988,1,4
pricai,aaai,2014,1994,1,11
pricai,aaai,2014,1999,1,19
pricai,aaai,2014,2002,2,28
pricai,aaai,2014,2007,3,46
pricai,aaai,2014,2008,3,48
pricai,aaai,2014,2011,1,76
pricai,aaai,2015,2002,1,1
pricai,aaai,2015,2008,1,6
