from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
pricai,acl,2000,1991,2,34
pricai,acl,2000,1993,1,44
pricai,acl,2000,1994,2,47
pricai,acl,2000,1999,1,81
pricai,acl,2004,1983,1,3
pricai,acl,2004,1993,1,15
pricai,acl,2004,2000,1,51
pricai,acl,2004,2003,1,64
pricai,acl,2006,1990,1,11
pricai,acl,2006,1993,1,24
pricai,acl,2006,1995,1,31
pricai,acl,2006,1999,2,71
pricai,acl,2006,2003,1,97
pricai,acl,2006,2004,1,122
pricai,acl,2008,1993,1,17
pricai,acl,2008,1996,2,18
pricai,acl,2008,1997,1,33
pricai,acl,2008,2000,2,46
pricai,acl,2008,2002,3,67
pricai,acl,2008,2003,1,61
pricai,acl,2008,2004,2,66
pricai,acl,2008,2005,3,65
pricai,acl,2008,2006,1,85
pricai,acl,2008,2007,1,74
pricai,acl,2009,1998,1,1
pricai,acl,2010,1994,1,6
pricai,acl,2010,1996,1,7
pricai,acl,2010,1999,2,27
pricai,acl,2010,2003,2,51
pricai,acl,2010,2004,1,44
pricai,acl,2010,2005,1,41
pricai,acl,2010,2006,1,46
pricai,acl,2010,2007,2,66
pricai,acl,2010,2008,2,68
pricai,acl,2010,2009,3,48
pricai,acl,2012,2000,1,21
pricai,acl,2012,2002,2,40
pricai,acl,2012,2003,1,35
pricai,acl,2012,2004,2,44
pricai,acl,2012,2005,2,52
pricai,acl,2012,2007,2,60
pricai,acl,2012,2008,1,60
pricai,acl,2012,2010,2,72
pricai,acl,2012,2011,3,58
pricai,acl,2014,2002,1,28
pricai,acl,2014,2003,1,35
pricai,acl,2014,2005,1,38
pricai,acl,2014,2007,1,46
pricai,acl,2014,2008,1,48
pricai,acl,2014,2009,1,53
pricai,acl,2014,2010,1,64
pricai,acl,2014,2011,4,76
pricai,acl,2014,2012,1,68
