from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
pricai,coling,2000,1992,1,29
pricai,coling,2002,1992,1,12
pricai,coling,2002,1994,1,25
pricai,coling,2006,2000,1,69
pricai,coling,2006,2002,1,117
pricai,coling,2008,2002,2,67
pricai,coling,2008,2004,2,66
pricai,coling,2008,2006,2,85
pricai,coling,2010,2000,1,24
pricai,coling,2010,2002,2,30
pricai,coling,2010,2006,1,46
pricai,coling,2012,2001,1,26
pricai,coling,2012,2002,2,40
pricai,coling,2012,2004,1,44
pricai,coling,2012,2006,4,50
pricai,coling,2012,2008,2,60
pricai,coling,2012,2010,7,72
pricai,coling,2014,1994,1,11
pricai,coling,2014,1996,1,11
pricai,coling,2014,2002,1,28
pricai,coling,2014,2004,1,27
pricai,coling,2014,2008,1,48
pricai,coling,2014,2009,1,53
pricai,coling,2014,2010,2,64
pricai,coling,2014,2012,1,68
