from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
pricai,colt,1996,1990,1,41
pricai,colt,1996,1992,1,43
pricai,colt,1998,1988,1,10
pricai,colt,1998,1992,3,32
pricai,colt,1998,1994,1,27
pricai,colt,2000,1998,2,84
pricai,colt,2002,1995,1,19
pricai,colt,2002,1998,1,30
pricai,colt,2004,1992,1,14
pricai,colt,2004,1995,1,25
pricai,colt,2004,2002,1,54
pricai,colt,2006,1995,1,31
pricai,colt,2006,1997,1,47
pricai,colt,2008,1992,2,18
pricai,colt,2008,1998,1,32
pricai,colt,2012,1998,1,18
pricai,colt,2012,2001,1,26
pricai,colt,2014,2006,1,40
