from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
pricai,cvpr,2000,1999,2,81
pricai,cvpr,2002,1994,1,25
pricai,cvpr,2002,1997,1,37
pricai,cvpr,2002,1998,2,30
pricai,cvpr,2002,2000,1,50
pricai,cvpr,2004,1997,2,29
pricai,cvpr,2004,2000,1,51
pricai,cvpr,2004,2001,3,53
pricai,cvpr,2004,2003,2,64
pricai,cvpr,2006,1996,1,27
pricai,cvpr,2006,1997,1,47
pricai,cvpr,2006,1999,2,71
pricai,cvpr,2006,2000,2,69
pricai,cvpr,2006,2001,1,74
pricai,cvpr,2006,2004,2,122
pricai,cvpr,2008,1997,2,33
pricai,cvpr,2008,2000,1,46
pricai,cvpr,2008,2001,1,57
pricai,cvpr,2008,2003,2,61
pricai,cvpr,2008,2004,1,66
pricai,cvpr,2008,2005,1,65
pricai,cvpr,2008,2007,1,74
pricai,cvpr,2010,1997,1,18
pricai,cvpr,2010,2001,1,36
pricai,cvpr,2010,2004,2,44
pricai,cvpr,2010,2005,2,41
pricai,cvpr,2010,2006,1,46
pricai,cvpr,2010,2008,2,68
pricai,cvpr,2012,1994,1,14
pricai,cvpr,2012,1999,1,15
pricai,cvpr,2012,2000,1,21
pricai,cvpr,2012,2001,1,26
pricai,cvpr,2012,2003,1,35
pricai,cvpr,2012,2005,2,52
pricai,cvpr,2012,2006,2,50
pricai,cvpr,2012,2009,2,67
pricai,cvpr,2012,2010,1,72
pricai,cvpr,2014,2003,2,35
pricai,cvpr,2014,2004,1,27
pricai,cvpr,2014,2006,1,40
pricai,cvpr,2014,2007,1,46
pricai,cvpr,2014,2008,2,48
pricai,cvpr,2014,2011,1,76
pricai,cvpr,2014,2012,3,68
pricai,cvpr,2014,2013,2,82
