from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
pricai,ecai,1996,1992,4,43
pricai,ecai,1996,1994,2,56
pricai,ecai,1997,1992,1,3
pricai,ecai,1998,1990,1,27
pricai,ecai,1998,1996,1,49
pricai,ecai,2000,1988,1,14
pricai,ecai,2000,1990,2,21
pricai,ecai,2000,1996,1,65
pricai,ecai,2001,2000,1,3
pricai,ecai,2004,1992,1,14
pricai,ecai,2004,1998,1,44
pricai,ecai,2006,2004,1,122
pricai,ecai,2008,1992,2,18
pricai,ecai,2008,2004,2,66
pricai,ecai,2010,2004,1,44
pricai,ecai,2010,2006,2,46
pricai,ecai,2010,2008,1,68
pricai,ecai,2012,2000,1,21
pricai,ecai,2012,2006,1,50
pricai,ecai,2014,2004,1,27
pricai,ecai,2014,2010,3,64
