from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
pricai,emnlp,2004,2000,1,51
pricai,emnlp,2006,2000,1,69
pricai,emnlp,2006,2004,1,122
pricai,emnlp,2008,2003,3,61
pricai,emnlp,2008,2004,1,66
pricai,emnlp,2008,2005,2,65
pricai,emnlp,2008,2006,1,85
pricai,emnlp,2010,2002,1,30
pricai,emnlp,2010,2005,1,41
pricai,emnlp,2010,2008,1,68
pricai,emnlp,2010,2009,2,48
pricai,emnlp,2012,2003,1,35
pricai,emnlp,2012,2005,3,52
pricai,emnlp,2012,2008,1,60
pricai,emnlp,2012,2010,1,72
pricai,emnlp,2014,2004,1,27
pricai,emnlp,2014,2005,1,38
pricai,emnlp,2014,2008,1,48
pricai,emnlp,2014,2009,3,53
pricai,emnlp,2014,2010,1,64
pricai,emnlp,2014,2011,2,76
pricai,emnlp,2014,2012,1,68
