from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
pricai,icml,1996,1988,1,25
pricai,icml,1996,1991,2,35
pricai,icml,1996,1992,3,43
pricai,icml,1996,1993,3,46
pricai,icml,1996,1994,4,56
pricai,icml,1996,1995,1,66
pricai,icml,1998,1988,1,10
pricai,icml,1998,1991,1,12
pricai,icml,1998,1992,1,32
pricai,icml,1998,1993,2,21
pricai,icml,1998,1994,1,27
pricai,icml,1998,1995,2,26
pricai,icml,1998,1996,4,49
pricai,icml,1998,1997,1,38
pricai,icml,2000,1990,1,21
pricai,icml,2000,1991,1,34
pricai,icml,2000,1992,1,29
pricai,icml,2000,1994,1,47
pricai,icml,2000,1995,2,49
pricai,icml,2000,1996,6,65
pricai,icml,2000,1997,1,61
pricai,icml,2000,1998,1,84
pricai,icml,2000,1999,1,81
pricai,icml,2002,1993,2,18
pricai,icml,2002,1996,2,26
pricai,icml,2002,1997,4,37
pricai,icml,2002,1999,1,25
pricai,icml,2002,2000,5,50
pricai,icml,2004,1993,1,15
pricai,icml,2004,1994,1,25
pricai,icml,2004,1997,1,29
pricai,icml,2004,1998,2,44
pricai,icml,2004,2000,1,51
pricai,icml,2004,2002,1,54
pricai,icml,2004,2003,1,64
pricai,icml,2006,1992,1,23
pricai,icml,2006,1994,1,32
pricai,icml,2006,1996,2,27
pricai,icml,2006,1997,2,47
pricai,icml,2006,2000,2,69
pricai,icml,2006,2001,1,74
pricai,icml,2006,2002,1,117
pricai,icml,2006,2003,1,97
pricai,icml,2006,2004,2,122
pricai,icml,2006,2005,1,78
pricai,icml,2008,1989,1,6
pricai,icml,2008,1992,1,18
pricai,icml,2008,1995,1,23
pricai,icml,2008,1996,1,18
pricai,icml,2008,1998,1,32
pricai,icml,2008,1999,1,31
pricai,icml,2008,2000,2,46
pricai,icml,2008,2001,4,57
pricai,icml,2008,2002,1,67
pricai,icml,2008,2003,1,61
pricai,icml,2008,2004,1,66
pricai,icml,2008,2005,1,65
pricai,icml,2008,2006,4,85
pricai,icml,2008,2007,2,74
pricai,icml,2010,1996,1,7
pricai,icml,2010,1997,1,18
pricai,icml,2010,2001,1,36
pricai,icml,2010,2002,1,30
pricai,icml,2010,2003,1,51
pricai,icml,2010,2005,1,41
pricai,icml,2010,2007,2,66
pricai,icml,2011,1998,1,1
pricai,icml,2012,1992,1,3
pricai,icml,2012,1993,1,7
pricai,icml,2012,1994,1,14
pricai,icml,2012,2000,1,21
pricai,icml,2012,2001,1,26
pricai,icml,2012,2002,1,40
pricai,icml,2012,2004,1,44
pricai,icml,2012,2006,1,50
pricai,icml,2012,2007,2,60
pricai,icml,2012,2009,1,67
pricai,icml,2014,1995,1,10
pricai,icml,2014,2000,1,26
pricai,icml,2014,2001,1,16
pricai,icml,2014,2003,1,35
pricai,icml,2014,2006,2,40
pricai,icml,2014,2007,1,46
pricai,icml,2014,2008,1,48
pricai,icml,2014,2010,1,64
pricai,icml,2014,2012,3,68
pricai,icml,2015,2008,1,6
