from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
pricai,icpr,1996,1994,3,56
pricai,icpr,2000,1994,1,47
pricai,icpr,2000,1996,2,65
pricai,icpr,2004,2002,1,54
pricai,icpr,2006,2000,1,69
pricai,icpr,2006,2002,2,117
pricai,icpr,2006,2004,4,122
pricai,icpr,2006,2005,1,78
pricai,icpr,2008,2004,2,66
pricai,icpr,2008,2006,2,85
pricai,icpr,2010,2006,1,46
pricai,icpr,2010,2008,1,68
pricai,icpr,2012,2004,1,44
pricai,icpr,2012,2006,1,50
pricai,icpr,2012,2008,2,60
pricai,icpr,2012,2010,5,72
pricai,icpr,2014,2000,1,26
pricai,icpr,2014,2004,1,27
pricai,icpr,2014,2012,1,68
