from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
pricai,kr,1996,1989,3,31
pricai,kr,1996,1991,5,35
pricai,kr,1996,1992,1,43
pricai,kr,1996,1994,4,56
pricai,kr,1997,1991,2,5
pricai,kr,1997,1992,1,3
pricai,kr,1998,1992,1,32
pricai,kr,1998,1994,1,27
pricai,kr,1998,1996,2,49
pricai,kr,2000,1989,1,20
pricai,kr,2000,1991,1,34
pricai,kr,2000,1992,1,29
pricai,kr,2000,1996,2,65
pricai,kr,2000,1998,2,84
pricai,kr,2002,1991,2,14
pricai,kr,2002,1994,1,25
pricai,kr,2002,1996,1,26
pricai,kr,2002,1998,1,30
pricai,kr,2004,1991,1,15
pricai,kr,2004,1992,1,14
pricai,kr,2004,2000,1,51
pricai,kr,2006,1992,1,23
pricai,kr,2006,2004,1,122
pricai,kr,2008,1991,1,9
pricai,kr,2008,1992,2,18
pricai,kr,2008,1998,1,32
pricai,kr,2008,2000,2,46
pricai,kr,2008,2004,1,66
pricai,kr,2008,2006,2,85
pricai,kr,2010,1992,1,4
pricai,kr,2010,1996,1,7
pricai,kr,2010,2008,1,68
pricai,kr,2012,2010,1,72
pricai,kr,2014,2002,1,28
pricai,kr,2014,2008,2,48
pricai,kr,2014,2012,2,68
pricai,kr,2016,2000,1,2
pricai,kr,2016,2002,1,2
pricai,kr,2016,2004,1,1
pricai,kr,2016,2012,1,1
