from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
pricai,nips,1998,1990,1,27
pricai,nips,2000,1994,1,47
pricai,nips,2000,1995,4,49
pricai,nips,2000,1998,2,84
pricai,nips,2000,1999,2,81
pricai,nips,2002,1997,1,37
pricai,nips,2002,1998,2,30
pricai,nips,2002,1999,2,25
pricai,nips,2002,2000,1,50
pricai,nips,2002,2001,2,46
pricai,nips,2004,1990,1,11
pricai,nips,2004,1992,1,14
pricai,nips,2004,1998,1,44
pricai,nips,2004,2000,1,51
pricai,nips,2004,2001,1,53
pricai,nips,2004,2003,1,64
pricai,nips,2006,1992,1,23
pricai,nips,2006,1995,1,31
pricai,nips,2006,1997,1,47
pricai,nips,2006,1999,1,71
pricai,nips,2006,2000,2,69
pricai,nips,2006,2001,3,74
pricai,nips,2006,2002,2,117
pricai,nips,2006,2003,3,97
pricai,nips,2006,2004,1,122
pricai,nips,2008,1997,1,33
pricai,nips,2008,2001,3,57
pricai,nips,2008,2002,3,67
pricai,nips,2008,2003,1,61
pricai,nips,2008,2004,1,66
pricai,nips,2008,2006,2,85
pricai,nips,2008,2007,1,74
pricai,nips,2010,1995,1,8
pricai,nips,2010,1999,3,27
pricai,nips,2010,2001,1,36
pricai,nips,2010,2002,2,30
pricai,nips,2010,2004,4,44
pricai,nips,2011,2000,1,3
pricai,nips,2012,1990,1,7
pricai,nips,2012,2001,2,26
pricai,nips,2012,2002,2,40
pricai,nips,2012,2003,1,35
pricai,nips,2012,2006,1,50
pricai,nips,2012,2009,1,67
pricai,nips,2014,1999,1,19
pricai,nips,2014,2001,1,16
pricai,nips,2014,2003,1,35
pricai,nips,2014,2006,1,40
pricai,nips,2014,2008,1,48
pricai,nips,2014,2011,1,76
pricai,nips,2014,2012,2,68
pricai,nips,2014,2013,1,82
pricai,nips,2015,2001,1,2
