from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
pricai,uai,1996,1987,1,19
pricai,uai,1996,1988,1,25
pricai,uai,1996,1990,2,41
pricai,uai,1996,1992,3,43
pricai,uai,1996,1994,3,56
pricai,uai,1996,1995,1,66
pricai,uai,1998,1990,2,27
pricai,uai,1998,1994,2,27
pricai,uai,1998,1995,1,26
pricai,uai,1998,1996,2,49
pricai,uai,2000,1994,1,47
pricai,uai,2000,1995,1,49
pricai,uai,2000,1998,4,84
pricai,uai,2000,1999,1,81
pricai,uai,2002,1990,1,11
pricai,uai,2002,1995,1,19
pricai,uai,2002,1996,1,26
pricai,uai,2002,1999,1,25
pricai,uai,2004,1995,1,25
pricai,uai,2006,1990,1,11
pricai,uai,2006,1994,1,32
pricai,uai,2006,1995,1,31
pricai,uai,2006,1997,1,47
pricai,uai,2006,1998,1,57
pricai,uai,2006,1999,2,71
pricai,uai,2006,2001,2,74
pricai,uai,2006,2002,4,117
pricai,uai,2008,1992,1,18
pricai,uai,2008,1994,1,12
pricai,uai,2008,1998,1,32
pricai,uai,2008,2001,1,57
pricai,uai,2008,2002,1,67
pricai,uai,2010,1988,1,4
pricai,uai,2010,1990,1,4
pricai,uai,2010,1997,1,18
pricai,uai,2010,1999,1,27
pricai,uai,2012,1994,1,14
pricai,uai,2012,2001,1,26
pricai,uai,2014,1990,1,6
pricai,uai,2014,1997,1,11
pricai,uai,2014,1998,1,12
pricai,uai,2014,1999,1,19
pricai,uai,2014,2004,1,27
pricai,uai,2014,2012,1,68
pricai,uai,2014,2013,1,82
