from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
uai,acl,1993,1988,1,15
uai,acl,1994,1988,1,26
uai,acl,1999,1993,1,13
uai,acl,2000,1995,1,26
uai,acl,2002,2001,1,67
uai,acl,2004,1996,1,14
uai,acl,2005,2000,1,3
uai,acl,2005,2002,1,11
uai,acl,2009,1995,1,9
uai,acl,2009,1998,1,17
uai,acl,2009,2002,1,18
uai,acl,2009,2003,1,21
uai,acl,2009,2006,1,40
uai,acl,2009,2007,2,34
uai,acl,2009,2008,3,59
uai,acl,2012,1995,1,47
uai,acl,2012,2004,1,88
uai,acl,2012,2005,1,90
