from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
uai,cvpr,1990,1988,2,36
uai,cvpr,1990,1989,1,25
uai,cvpr,1997,1993,1,18
uai,cvpr,1997,1996,1,29
uai,cvpr,2002,1999,2,46
uai,cvpr,2004,1998,1,31
uai,cvpr,2004,1999,1,40
uai,cvpr,2004,2001,3,71
uai,cvpr,2004,2003,2,59
uai,cvpr,2006,2005,1,7
uai,cvpr,2009,2005,1,27
uai,cvpr,2011,2007,2,8
uai,cvpr,2011,2009,1,2
uai,cvpr,2012,1998,1,42
uai,cvpr,2012,2000,1,51
uai,cvpr,2012,2003,3,96
uai,cvpr,2012,2004,3,88
uai,cvpr,2012,2006,2,73
uai,cvpr,2012,2007,2,65
uai,cvpr,2012,2008,5,50
uai,cvpr,2012,2010,3,24
