from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
uai,icml,1993,1988,1,15
uai,icml,1994,1988,1,26
uai,icml,1994,1993,1,33
uai,icml,1995,1994,1,36
uai,icml,1996,1994,1,26
uai,icml,1997,1993,1,18
uai,icml,1998,1993,1,13
uai,icml,1998,1995,1,18
uai,icml,1998,1996,1,16
uai,icml,1998,1997,1,34
uai,icml,1999,1990,1,20
uai,icml,1999,1993,1,13
uai,icml,1999,1996,5,23
uai,icml,1999,1997,1,19
uai,icml,1999,1998,1,17
uai,icml,2000,1994,2,21
uai,icml,2000,1995,1,26
uai,icml,2000,1996,1,35
uai,icml,2000,1997,2,24
uai,icml,2000,1998,2,27
uai,icml,2001,1995,1,12
uai,icml,2001,1997,1,20
uai,icml,2001,1998,4,23
uai,icml,2002,1988,1,11
uai,icml,2002,1993,1,20
uai,icml,2002,1994,1,18
uai,icml,2002,1996,3,20
uai,icml,2002,1998,3,39
uai,icml,2002,1999,1,46
uai,icml,2002,2000,6,49
uai,icml,2002,2001,4,67
uai,icml,2004,1995,2,23
uai,icml,2004,1997,2,33
uai,icml,2004,1998,3,31
uai,icml,2004,1999,1,40
uai,icml,2004,2000,4,36
uai,icml,2004,2001,3,71
uai,icml,2004,2002,2,69
uai,icml,2004,2003,3,59
uai,icml,2005,1997,1,3
uai,icml,2005,2000,1,3
uai,icml,2006,2000,1,4
uai,icml,2009,2000,2,17
uai,icml,2009,2001,1,13
uai,icml,2009,2003,1,21
uai,icml,2009,2004,1,24
uai,icml,2009,2005,4,27
uai,icml,2009,2006,2,40
uai,icml,2009,2008,6,59
uai,icml,2010,1994,1,1
uai,icml,2010,1999,1,2
uai,icml,2011,2007,1,8
uai,icml,2012,1993,2,17
uai,icml,2012,1994,2,29
uai,icml,2012,1995,5,47
uai,icml,2012,1996,1,26
uai,icml,2012,1997,2,41
uai,icml,2012,1998,4,42
uai,icml,2012,1999,3,41
uai,icml,2012,2000,7,51
uai,icml,2012,2001,8,77
uai,icml,2012,2002,3,95
uai,icml,2012,2003,9,96
uai,icml,2012,2004,6,88
uai,icml,2012,2005,8,90
uai,icml,2012,2006,12,73
uai,icml,2012,2007,5,65
uai,icml,2012,2008,6,50
uai,icml,2012,2009,6,28
uai,icml,2012,2010,1,24
uai,icml,2013,1993,1,33
uai,icml,2013,1994,1,40
uai,icml,2013,1995,1,21
uai,icml,2013,1996,1,26
uai,icml,2013,2000,2,7
uai,icml,2013,2001,1,8
uai,icml,2013,2004,1,1
uai,icml,2013,2005,1,1
uai,icml,2013,2006,1,8
uai,icml,2013,2012,3,19
uai,icml,2014,2009,1,10
