from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
uai,nips,1998,1995,1,18
uai,nips,1998,1997,1,34
uai,nips,1999,1998,3,17
uai,nips,2000,1988,1,4
uai,nips,2000,1990,1,8
uai,nips,2000,1995,2,26
uai,nips,2000,1996,5,35
uai,nips,2000,1997,1,24
uai,nips,2000,1998,1,27
uai,nips,2000,1999,6,36
uai,nips,2001,1995,2,12
uai,nips,2001,1998,3,23
uai,nips,2001,1999,2,28
uai,nips,2001,2000,2,36
uai,nips,2002,1993,1,20
uai,nips,2002,1995,1,22
uai,nips,2002,1996,2,20
uai,nips,2002,1998,6,39
uai,nips,2002,2000,5,49
uai,nips,2002,2001,11,67
uai,nips,2003,2001,1,3
uai,nips,2004,1995,1,23
uai,nips,2004,1996,1,14
uai,nips,2004,1998,4,31
uai,nips,2004,1999,1,40
uai,nips,2004,2000,3,36
uai,nips,2004,2001,7,71
uai,nips,2004,2002,7,69
uai,nips,2004,2003,8,59
uai,nips,2005,1992,1,2
uai,nips,2005,2001,1,10
uai,nips,2005,2003,1,10
uai,nips,2006,1996,2,7
uai,nips,2006,1998,1,1
uai,nips,2006,1999,1,4
uai,nips,2006,2001,2,8
uai,nips,2006,2003,4,6
uai,nips,2006,2004,1,5
uai,nips,2008,2002,2,4
uai,nips,2009,1995,2,9
uai,nips,2009,1996,1,4
uai,nips,2009,1998,2,17
uai,nips,2009,2000,2,17
uai,nips,2009,2001,2,13
uai,nips,2009,2002,2,18
uai,nips,2009,2003,3,21
uai,nips,2009,2004,1,24
uai,nips,2009,2005,4,27
uai,nips,2009,2006,2,40
uai,nips,2009,2007,9,34
uai,nips,2009,2008,10,59
uai,nips,2012,1994,1,29
uai,nips,2012,1995,2,47
uai,nips,2012,1996,5,26
uai,nips,2012,1997,1,41
uai,nips,2012,1998,5,42
uai,nips,2012,1999,1,41
uai,nips,2012,2000,6,51
uai,nips,2012,2001,11,77
uai,nips,2012,2002,9,95
uai,nips,2012,2003,15,96
uai,nips,2012,2004,9,88
uai,nips,2012,2005,7,90
uai,nips,2012,2006,5,73
uai,nips,2012,2007,11,65
uai,nips,2012,2008,7,50
uai,nips,2012,2009,4,28
uai,nips,2012,2010,5,24
uai,nips,2013,1992,1,36
uai,nips,2013,1995,1,21
uai,nips,2013,1996,3,26
uai,nips,2013,1998,3,16
uai,nips,2013,1999,2,11
uai,nips,2013,2001,2,8
uai,nips,2013,2008,3,7
uai,nips,2013,2009,1,7
uai,nips,2013,2010,2,6
uai,nips,2013,2011,4,6
uai,nips,2013,2012,2,19
uai,nips,2014,2001,1,4
uai,nips,2014,2003,1,4
uai,nips,2014,2004,1,3
uai,nips,2014,2008,2,5
uai,nips,2014,2009,3,10
uai,nips,2014,2012,1,8
uai,nips,2014,2013,2,4
