confA,confB,infAB,infBA
aaai,aamas,0.00150274812245257,0.635041774633345
aaai,accv,9.00749436608105e-06,0.125428697022393
aaai,acl,0.203544690333124,0.146921325146271
aaai,alt,0.193447185424531,0.104219218197433
aaai,bmvc,0.140945090171124,0.258475909497708
aaai,coling,0.247851664383101,0.14839047769662
aaai,colt,0.271772187596451,0.271113201681656
aaai,connection,0.712658174211766,7.16496103582984e-78
aaai,cvpr,0.295698963709427,0.332775767497404
aaai,ecai,0.0720229884432852,0.169330549958596
aaai,eccv,0.254690310685462,0.000766419505303719
aaai,emnlp,0.402087479217397,0.349578738270164
aaai,gecco,3.43670490192754e-165,2.27828047020382e-09
aaai,icann,0.15012223528057,0.13165737707426
aaai,icaps,0.157074102685492,0.307495363648714
aaai,icb,0.795108847900528,0.30501980564372
aaai,iccbr,0.0975223938505642,0.216865915082455
aaai,iccv,0.0440030246891428,0.100086395155765
aaai,icdar,0.17157341472512,0.687645744391296
aaai,icml,0.184768347844282,0.201254840063901
aaai,iconip,0.53349427686641,0.281934966464912
aaai,icpr,0.000571259541573725,0.0742699841039423
aaai,icra,0.00806326781313057,0.00138494949309382
aaai,ictai,0.111054058473579,0.0729963834840227
aaai,ijcai,0.110974565501407,0.126212571800977
aaai,ijcnn,4.52827726735162e-241,0.790418501533338
aaai,ilp,0.0800819701777307,0.0233357868006258
aaai,kr,0.348011839659998,0.0413884100687453
aaai,ksem,1,1
aaai,ml,0.372562517427903,0.00086753888370922
aaai,naacl,0.0246507023233601,0.626537009814274
aaai,nips,0.0337559281900957,0.0124003787696281
aaai,pricai,0.0624723608817501,0.298535846501131
aaai,pris,0.786654316597192,0.786654316597192
aaai,uai,0.000356499371162862,0.274034891804535
aamas,acl,0.000520831004413628,0.00258797181199469
aamas,alt,0.178145803601293,0.76590784867944
aamas,coling,0.785382957948443,2.02606737483731e-09
aamas,colt,0.0235044337797878,0.626171733873429
aamas,connection,0.0511744724267101,1.00195836913762e-106
aamas,cvpr,0.00558287423534394,1.21499903602236e-57
aamas,ecai,0.188500761851743,0.0027307457286979
aamas,eccv,0.840132984114933,0.840132984114933
aamas,emnlp,0.984508944217669,0.701806022171348
aamas,gecco,0.00166282745813279,0.331448953618827
aamas,icann,0.231903346490556,0.0880470638239287
aamas,icaps,0.0202409737328467,0.296267500518636
aamas,iccbr,0.0425390288135376,0.342204692642709
aamas,iccv,0.0920795912010471,0.520092071133795
aamas,icdar,1.24662868729325e-286,0.836836496093119
aamas,icml,0.106617452628977,0.282650618030608
aamas,iconip,7.04535966326129e-18,0.261994833049067
aamas,icpr,1.79171039469604e-10,0.0103774102026841
aamas,icra,0.642805580998422,0.360641162405801
aamas,ictai,0.0476472178357236,0.00104129085685668
aamas,ijcai,0.270299514848893,0.0047282815122694
aamas,ilp,0.0894668407979279,0.00831557188428648
aamas,kr,0.0845876875448223,0.110447443984752
aamas,ksem,1,1
aamas,ml,0.23654972879453,0.000869116167316606
aamas,naacl,0.117598530477076,3.64950091548562e-06
aamas,nips,0.158378851456081,0.000121445043099678
aamas,pricai,0.33078046030704,0.0107032566721785
aamas,uai,0.03705186761591,0.00396230502976027
accv,acl,0.754257045292654,0.7646420992485
accv,bmvc,0.0154044382634882,0.127823474149276
accv,cvpr,0.000134616303952887,0.0159675757686816
accv,ecai,0.810220028396002,0.000767964014666746
accv,eccv,0.0280943137567954,0.0442200500148761
accv,emnlp,5.83812641503812e-08,0.302210732124567
accv,icann,0.0056465706047071,6.35886218791962e-15
accv,icb,4.32866720228214e-15,1.77204627450977e-05
accv,iccv,0.0748058166791517,0.0117398478541556
accv,icdar,0.00223765188699986,3.07212238115943e-05
accv,icml,0.00136124823708046,0.522669936259284
accv,iconip,0.780129108950006,0.0829753175060143
accv,icpr,0.0693813221426993,0.558626511011287
accv,icra,0.30175887874286,0.0964906104722351
accv,ijcai,0.0840445786965494,0.00878002064230547
accv,ml,0.563054488882352,7.04858949604069e-14
accv,naacl,0.65888424853148,1.08641685508238e-249
accv,nips,0.0308216794563891,0.0175404404895394
acl,alt,1.64580389780953e-16,0.682614196890722
acl,bmvc,0.840132984114933,0.861618608730152
acl,coling,0.000139961076873857,1.92646807153306e-06
acl,colt,0,2.82344735097268e-31
acl,connection,0.681898142107394,0.754230828165498
acl,cvpr,1.13251554953604e-184,6.97375678215647e-08
acl,ecai,0.215476633083091,0.0836792037378316
acl,eccv,7.69609911717079e-70,9.54692296481391e-09
acl,emnlp,0.148586833635505,0.512489583371956
acl,gecco,9.04284324663557e-05,0.834381453365378
acl,icann,1.73131762644982e-75,0.381888155164686
acl,iccv,9.07696162988406e-193,2.24159850915935e-12
acl,icdar,0.207137763541086,0.273957824014275
acl,icml,0.00670861667144142,0.00963352217158891
acl,iconip,0.0131828005730625,0.0571432998768051
acl,icpr,0.00748158840892173,6.24126899673566e-08
acl,icra,0.883117996019286,0.886263994893346
acl,ictai,0.520058254315756,0.0475845075953651
acl,ijcai,1.0539007296903e-07,4.71261781623754e-298
acl,ilp,0.240758780399515,0.0472088037913595
acl,kr,0.735379545639647,0.79070413930709
acl,ml,0.00118825998502247,0.000852863611606708
acl,naacl,0.00570863253817722,0.122648187902329
acl,nips,0.000740313082599709,0.0453450900291341
acl,pricai,0.0343226751527531,0.00615893508474366
acl,uai,0.00389371047435011,2.70777809538927e-06
alt,colt,0.136942581965071,0.418181881286085
alt,connection,5.43320864414526e-197,0.771222766658494
alt,cvpr,5.50572577976222e-05,1.80914197084252e-149
alt,ecai,0.672897793815738,0.674196715674972
alt,eccv,0.778990172854401,0.770442898880585
alt,emnlp,0.0123641338428056,0.171856311829936
alt,gecco,0.840132984114933,0.866063713305941
alt,icann,0.787818638545868,0.669772599530597
alt,icml,0.0435796192395811,0.0138396453393109
alt,iconip,0.519989458084381,0.188025014046833
alt,icra,1,1
alt,ictai,8.67561633110206e-170,0.150365169050886
alt,ijcai,0.0247522276261541,0.277385672450744
alt,ilp,0.0433776958321543,0.0255120284189857
alt,kr,1,1
alt,ml,0.10428379910627,0.00290029910312308
alt,naacl,0.619599244343304,0.0083235762628764
alt,nips,0.00259617663071121,3.63259178301391e-06
alt,pricai,2.58945598135383e-32,0.0934142910550617
alt,uai,0.0235752338827666,5.18358775765793e-08
bmvc,coling,9.59677849312164e-260,0.840132984114933
bmvc,cvpr,0.130663908700075,0.000244531171684952
bmvc,ecai,0.0344219959052003,0.000220931123704576
bmvc,eccv,0.0998342400229235,0.0198909837790954
bmvc,emnlp,0.806218497986899,0.806218497986899
bmvc,gecco,8.41835805574647e-09,8.82720536423363e-07
bmvc,icann,0.431758482876236,0.005957315654714
bmvc,icb,1.21641256409033e-12,0.136561832478586
bmvc,iccv,9.50744382315707e-06,9.67360286310016e-08
bmvc,icdar,0.193580253982165,0.0134379643288002
bmvc,icml,0.0119633683226064,0.0115980608415784
bmvc,iconip,2.73098244305728e-188,4.99427463641917e-07
bmvc,icpr,0.017380964614675,0.114710123779367
bmvc,icra,0.399880895893609,0.283575277984514
bmvc,ictai,0.0113278641676433,0.10282198176123
bmvc,ijcai,0.0983153825985423,0.0852194958324533
bmvc,ijcnn,2.93187107610917e-253,0.840132984114933
bmvc,ml,1.00545010463041e-08,1.8170186650389e-21
bmvc,nips,0.00802999002950782,0.0571647831064865
bmvc,pris,1,1
bmvc,uai,0.00180327183752749,9.52574024020361e-95
coling,colt,1.05736593841663e-11,1.49977017047277e-20
coling,connection,0.374302889742993,0.73478450597192
coling,cvpr,9.52111864262928e-08,0.000593935143929097
coling,ecai,0.00511871669678387,0.019893049987628
coling,emnlp,0.146313084669789,0.530716397192604
coling,icann,0.00153658291261515,0.0805955884967866
coling,iccv,0.0230420972161726,0.223960821048312
coling,icdar,3.11826550969311e-05,0.41913087222777
coling,icml,0.00292770135500314,0.000872166589501566
coling,iconip,4.4419171302055e-06,2.0948046701092e-05
coling,icpr,0.0272035356011834,0.0529066261786988
coling,icra,0.87593645695765,0.913599364163095
