confFrom,confTo,pvalue
aamas,aaai,0.000428661763873685
accv,aaai,1.71718288247775e-07
aaai,bmvc,0.00162151741514105
aaai,connection,2.31309909167555e-11
aaai,eccv,0.000238484804361295
aaai,gecco,1.76763030827319e-12
gecco,aaai,1.28019274430871e-158
aaai,icb,0.00285184991416259
icpr,aaai,0.000581281408006055
aaai,icra,0.00197902743788917
icra,aaai,0.00135286585844772
ijcnn,aaai,8.5645731038944e-246
ilp,aaai,0.00171588138026739
aaai,kr,0.00710070728032276
aaai,ml,0.00048846584690825
uai,aaai,0.000762034021029782
aamas,acl,0.000497298296532648
acl,aamas,0.000343102056512217
aamas,coling,1.86830130826403e-08
colt,aamas,0.00722199357212477
aamas,cvpr,3.24943776269165e-56
cvpr,aamas,0.000338868013428356
aamas,ecai,0.00452726904711346
gecco,aamas,0.00162858199000377
icdar,aamas,1.12633205261954e-271
aamas,iconip,0.000628067354465619
iconip,aamas,4.83661480588768e-17
aamas,icpr,0.000384818446788468
icpr,aamas,2.27344950470906e-11
aamas,ijcai,0.00828877202924223
aamas,ilp,0.00753287978023724
aamas,ml,0.00351628629123413
aamas,naacl,1.07195705880746e-05
aamas,nips,5.01216293534428e-05
pricai,aamas,0.000985459203063729
aamas,uai,0.000982558697824349
cvpr,accv,0.000693023831435718
eccv,accv,0.000434997315246239
emnlp,accv,1.23712161125826e-10
accv,icann,3.7902345916357e-14
accv,icb,0.000749764874720461
icb,accv,7.29777500453819e-11
accv,iccv,0.00950027933774189
accv,icdar,0.000500869932790556
icml,accv,0.000161378128784472
accv,iconip,0.00878506128338946
accv,ijcai,0.00823784063805994
accv,ml,3.08314560462217e-14
accv,naacl,9.25436911732333e-245
alt,acl,3.47260960130258e-10
acl,coling,3.52042312524039e-06
coling,acl,9.49561046460376e-05
acl,colt,9.8578500226802e-34
colt,acl,0
acl,cvpr,2.45655539484154e-07
cvpr,acl,5.79262781551817e-178
acl,eccv,8.34412082641255e-09
eccv,acl,2.49818962901209e-70
gecco,acl,0.000167463336210317
icann,acl,4.81661943980022e-76
acl,iccv,1.02296734815726e-12
iccv,acl,1.5378010033901e-188
acl,icml,0.00593284096329865
icml,acl,0.000844121213630349
acl,icpr,2.56818361428364e-08
icpr,acl,0.00168686471458507
acl,ijcai,4.82366429132207e-298
ijcai,acl,3.22646108274342e-08
acl,ilp,6.7443709652227e-05
ilp,acl,0.000483712263070868
acl,ml,0.00297563228180345
ml,acl,0.00122974151377616
naacl,acl,0.00356770211194673
nips,acl,0.000476102528745375
acl,pricai,0.00495829627373748
acl,uai,7.37679457886016e-07
uai,acl,0.00643748417492622
connection,alt,2.26448762143786e-198
alt,cvpr,1.73355621082009e-150
cvpr,alt,0.0003095294023857
emnlp,alt,0.000170876851790453
ictai,alt,1.00763298101465e-06
ijcai,alt,0.00780365978386992
ml,alt,0.00101480892504762
alt,naacl,0.00954667576008788
alt,nips,0.000149086097479386
nips,alt,0.001932264314317
alt,uai,1.18414748611366e-09
coling,bmvc,7.34513884357041e-246
bmvc,cvpr,0.00106584280475476
cvpr,bmvc,0.00654330584072425
bmvc,ecai,0.000357568492658432
ecai,bmvc,0.00996774159909597
bmvc,eccv,0.00261016657226725
bmvc,emnlp,4.45238803946559e-31
bmvc,gecco,1.18104790267288e-07
gecco,bmvc,7.53976428243611e-09
bmvc,icann,0.00245050710934591
icann,bmvc,0.00377894165185488
icb,bmvc,2.40153835131993e-10
bmvc,iccv,4.28073101302035e-05
iccv,bmvc,0.000245086491584466
bmvc,iconip,6.7889033964139e-09
iconip,bmvc,1.7387414608291e-182
ijcnn,bmvc,4.82332983693706e-253
pris,bmvc,4.02070769951281e-169
bmvc,uai,1.19009374446469e-90
uai,bmvc,0.000648195969570086
coling,colt,3.4914948785857e-21
colt,coling,3.00001911683868e-12
coling,cvpr,1.51396929068716e-05
cvpr,coling,2.31584465839088e-10
coling,ecai,0.00731058991249921
ecai,coling,0.00240675461386966
icann,coling,0.000337986053148968
iccv,coling,0.00359752286768845
icdar,coling,4.26040213211266e-05
coling,icml,0.00017035293055541
icml,coling,0.00663279058518549
coling,iconip,1.47838241646211e-06
iconip,coling,4.85075972794561e-07
icpr,coling,0.00576953643138432
coling,ijcai,0.00469248086559553
ijcai,coling,0.00192192132525107
coling,kr,5.423237114305e-14
coling,ml,0.000584887646509386
ml,coling,0.000118738135206197
coling,nips,2.97713526149315e-07
nips,coling,0.00311171190835107
pricai,coling,0.00192295169211497
colt,connection,0.00551145122260065
colt,cvpr,8.34374168277251e-05
cvpr,colt,4.00269674377454e-178
eccv,colt,4.88471154597397e-07
colt,iccv,1.29169148740126e-59
colt,icml,0.00237089442607025
colt,iconip,1.41316214693971e-44
colt,icpr,0.000322857382197792
icpr,colt,2.40110545833716e-14
ictai,colt,2.41822039040213e-73
colt,ijcai,3.72647395698269e-21
ijcai,colt,4.80728148419196e-249
ml,colt,0.00134733197577753
connection,cvpr,1.06637147884318e-214
connection,ecai,1.17935900465283e-316
ecai,connection,0.000809326663559009
gecco,connection,2.81119247093777e-73
connection,icann,0.00922282991996353
connection,iccv,1.01469507497235e-167
iccv,connection,0.00726754841650458
connection,iconip,9.05392958219945e-06
icra,connection,1.41642048451399e-123
ictai,connection,1.21317657471117e-268
connection,ijcnn,1.18714301773004e-76
ijcnn,connection,0.0011799794753341
connection,naacl,1.04350764466131e-229
cvpr,ecai,0.00366422831325656
cvpr,eccv,5.66390117800808e-06
cvpr,emnlp,6.33457374168167e-29
cvpr,gecco,1.76085512850644e-14
cvpr,icann,0.00288671561476665
cvpr,icb,8.78632118624404e-07
icb,cvpr,5.536751449483e-17
cvpr,iccv,0.000558208879684657
cvpr,icml,1.63812787404888e-55
icml,cvpr,3.25852635033661e-06
cvpr,iconip,3.79040727154282e-45
iconip,cvpr,2.82069799855061e-05
cvpr,icpr,7.49832461634784e-07
icpr,cvpr,0.00372390964968657
ictai,cvpr,0.00399120227941738
ijcnn,cvpr,5.21972606786933e-05
ml,cvpr,3.09573369342742e-05
cvpr,naacl,0.0001660220316295
naacl,cvpr,2.62490125069192e-88
pricai,cvpr,1.0156692012239e-08
ecai,eccv,6.65876445482919e-07
eccv,ecai,6.37309352479807e-11
ecai,gecco,1.38297404038146e-05
ecai,icdar,2.82714533278809e-220
icdar,ecai,0.000477157923506167
icpr,ecai,9.66586824050277e-05
ecai,ijcai,0.000401971999381604
ijcnn,ecai,0
ecai,kr,0.00117610567508372
ecai,nips,0.000207178217243397
nips,ecai,0.00108417082106269
eccv,emnlp,2.49807155871204e-06
eccv,gecco,5.06121967609003e-17
eccv,icann,0.00675279662831837
icann,eccv,0.00338219049878683
eccv,icb,4.98197832821181e-07
icb,eccv,8.28421006069386e-15
eccv,iccv,0.000170145079983501
iccv,eccv,0.00241418964229644
eccv,icdar,2.02974301292404e-07
icdar,eccv,1.41502662563099e-87
eccv,icml,0.0072949344222621
icml,eccv,0.00035699404218921
eccv,icpr,6.21749243144374e-09
icpr,eccv,0.000601030626667371
eccv,icra,0.000209771576745401
icra,eccv,3.24030046718041e-05
eccv,ictai,5.82455559705874e-06
eccv,ijcai,1.34874893243995e-103
ijcai,eccv,4.20904005389913e-20
eccv,ml,5.46362888952503e-06
ml,eccv,6.7119116599997e-08
eccv,nips,0.00609374308026557
nips,eccv,5.30687042025065e-05
eccv,uai,0.00963893756059106
uai,eccv,0.00154376624357019
iccv,emnlp,5.28086485093353e-06
emnlp,iconip,0.00167377732778506
emnlp,icpr,2.70780709606935e-30
ilp,emnlp,4.79440398202384e-125
emnlp,naacl,0.00623640054423801
emnlp,nips,0.00243432298875014
nips,emnlp,0.000174980416865323
gecco,icann,1.06114002996852e-05
icann,gecco,3.24651871148157e-118
gecco,icb,0
icb,gecco,0.00868956569501712
gecco,icml,1.15379158124026e-103
gecco,iconip,6.86741712738163e-84
iconip,gecco,0.00596739202198796
gecco,icra,5.3290168161786e-13
icra,gecco,1.18415656740827e-12
ictai,gecco,8.03775743735859e-31
gecco,ijcai,2.0124020186327e-34
ijcai,gecco,6.33546397444761e-06
gecco,ijcnn,3.52865772819348e-149
ijcnn,gecco,0.000141153862919222
ilp,gecco,7.54582911421658e-05
gecco,ml,8.79472944875866e-134
ml,gecco,0.00642277492513845
pricai,gecco,0.00282185991668497
icb,icann,0.000147185480728481
icml,icann,0.00468194514284035
icann,iconip,0.00933944078936799
icpr,icann,0.00551800945871219
ijcai,icann,0.00253222019054479
