confFrom,confTo,pvalue
aamas,aaai,0.00150274812245257
accv,aaai,9.00749436608105e-06
aaai,connection,7.16496103582984e-78
aaai,eccv,0.000766419505303719
aaai,gecco,2.27828047020382e-09
gecco,aaai,3.43670490192754e-165
icpr,aaai,0.000571259541573725
aaai,icra,0.00138494949309382
icra,aaai,0.00806326781313057
ijcnn,aaai,4.52827726735162e-241
aaai,ml,0.00086753888370922
uai,aaai,0.000356499371162862
aamas,acl,0.00258797181199469
acl,aamas,0.000520831004413628
aamas,coling,2.02606737483731e-09
aamas,connection,1.00195836913762e-106
aamas,cvpr,1.21499903602236e-57
cvpr,aamas,0.00558287423534394
aamas,ecai,0.0027307457286979
gecco,aamas,0.00166282745813279
icdar,aamas,1.24662868729325e-286
iconip,aamas,7.04535966326129e-18
icpr,aamas,1.79171039469604e-10
aamas,ictai,0.00104129085685668
aamas,ijcai,0.0047282815122694
aamas,ilp,0.00831557188428648
aamas,ml,0.000869116167316606
aamas,naacl,3.64950091548562e-06
aamas,nips,0.000121445043099678
aamas,uai,0.00396230502976027
cvpr,accv,0.000134616303952887
accv,ecai,0.000767964014666746
emnlp,accv,5.83812641503812e-08
accv,icann,6.35886218791962e-15
icann,accv,0.0056465706047071
accv,icb,1.77204627450977e-05
icb,accv,4.32866720228214e-15
accv,icdar,3.07212238115943e-05
icdar,accv,0.00223765188699986
icml,accv,0.00136124823708046
accv,ijcai,0.00878002064230547
accv,ml,7.04858949604069e-14
accv,naacl,1.08641685508238e-249
alt,acl,1.64580389780953e-16
acl,coling,1.92646807153306e-06
coling,acl,0.000139961076873857
acl,colt,2.82344735097268e-31
colt,acl,0
acl,cvpr,6.97375678215647e-08
cvpr,acl,1.13251554953604e-184
acl,eccv,9.54692296481391e-09
eccv,acl,7.69609911717079e-70
gecco,acl,9.04284324663557e-05
icann,acl,1.73131762644982e-75
acl,iccv,2.24159850915935e-12
iccv,acl,9.07696162988406e-193
acl,icml,0.00963352217158891
icml,acl,0.00670861667144142
acl,icpr,6.24126899673566e-08
icpr,acl,0.00748158840892173
acl,ijcai,4.71261781623754e-298
ijcai,acl,1.0539007296903e-07
acl,ml,0.000852863611606708
ml,acl,0.00118825998502247
naacl,acl,0.00570863253817722
nips,acl,0.000740313082599709
acl,pricai,0.00615893508474366
acl,uai,2.70777809538927e-06
uai,acl,0.00389371047435011
connection,alt,5.43320864414526e-197
alt,cvpr,1.80914197084252e-149
cvpr,alt,5.50572577976222e-05
ictai,alt,8.67561633110206e-170
alt,ml,0.00290029910312308
alt,naacl,0.0083235762628764
alt,nips,3.63259178301391e-06
nips,alt,0.00259617663071121
pricai,alt,2.58945598135383e-32
alt,uai,5.18358775765793e-08
coling,bmvc,9.59677849312164e-260
bmvc,cvpr,0.000244531171684952
bmvc,ecai,0.000220931123704576
bmvc,gecco,8.82720536423363e-07
gecco,bmvc,8.41835805574647e-09
bmvc,icann,0.005957315654714
icb,bmvc,1.21641256409033e-12
bmvc,iccv,9.67360286310016e-08
iccv,bmvc,9.50744382315707e-06
bmvc,iconip,4.99427463641917e-07
iconip,bmvc,2.73098244305728e-188
ijcnn,bmvc,2.93187107610917e-253
bmvc,ml,1.8170186650389e-21
ml,bmvc,1.00545010463041e-08
nips,bmvc,0.00802999002950782
bmvc,uai,9.52574024020361e-95
uai,bmvc,0.00180327183752749
coling,colt,1.49977017047277e-20
colt,coling,1.05736593841663e-11
coling,cvpr,0.000593935143929097
cvpr,coling,9.52111864262928e-08
ecai,coling,0.00511871669678387
icann,coling,0.00153658291261515
icdar,coling,3.11826550969311e-05
coling,icml,0.000872166589501566
icml,coling,0.00292770135500314
coling,iconip,2.0948046701092e-05
iconip,coling,4.4419171302055e-06
coling,ijcai,0.00289160095392876
ijcai,coling,0.000906405146943334
coling,kr,2.7924262493324e-11
coling,ml,0.000435365792255788
ml,coling,5.97015467934804e-05
coling,nips,9.37228576119928e-05
nips,coling,0.000606643337631728
coling,pricai,0.00140579045255785
pricai,coling,1.05983391303219e-07
colt,cvpr,0.000444047595898246
cvpr,colt,1.00341258605174e-181
eccv,colt,5.56269620996133e-06
colt,iccv,3.21451116059659e-60
iccv,colt,5.70064850224398e-05
colt,icml,0.000568602125025513
icml,colt,0.00894531861477916
colt,iconip,6.8474214528887e-46
colt,icpr,0.000766480971022862
icpr,colt,7.14296890458977e-13
ictai,colt,1.97765631626246e-72
colt,ijcai,1.47811999677505e-20
ijcai,colt,2.0547452043693e-248
ml,colt,0.00124265391772875
colt,uai,0.000667582689948559
connection,cvpr,2.93963333188783e-215
cvpr,connection,0.000514728753046948
connection,ecai,9.54026462633588e-307
ecai,connection,0.000426911881176768
gecco,connection,1.69375982855331e-71
connection,iccv,1.1266149996441e-168
connection,icra,4.67599557363919e-05
ictai,connection,1.44503396437157e-269
connection,ijcnn,9.38516579892272e-78
ijcnn,connection,2.99561534994527e-05
connection,naacl,1.61149686357097e-240
ecai,cvpr,0.00479249964267021
cvpr,eccv,1.69081448279409e-05
cvpr,emnlp,3.75871906791391e-29
cvpr,gecco,2.89225455168948e-13
cvpr,icann,0.00254281396671017
cvpr,icb,2.46157077237652e-05
icb,cvpr,2.89519183642195e-23
cvpr,iccv,0.000630427962082414
cvpr,icml,3.53886700851153e-56
icml,cvpr,6.79150565963959e-10
cvpr,iconip,5.37959673445384e-46
iconip,cvpr,4.57650702027796e-05
cvpr,icpr,3.56730706907562e-05
ijcnn,cvpr,0.000538372063578682
cvpr,ml,0.00994072640976937
ml,cvpr,0.0012883133685336
cvpr,naacl,0.000603384610724942
naacl,cvpr,1.51947877216047e-89
pricai,cvpr,9.40981612296218e-08
pris,cvpr,2.29025270533307e-82
cvpr,uai,0.00153087059322332
ecai,eccv,0.00952888787744131
eccv,ecai,7.11625983081773e-07
ecai,gecco,0.00182009452009559
iccv,ecai,0.000290772761667877
ecai,icdar,2.25841604433601e-226
icpr,ecai,7.64438753304537e-05
ecai,ijcai,0.000124061846182618
ijcnn,ecai,0
ecai,kr,0.0037651551598102
ecai,nips,0.00149122409520807
eccv,emnlp,1.58039830660617e-06
eccv,gecco,4.16276178543042e-18
eccv,icann,0.00839054954999533
eccv,icb,2.10779334157864e-06
icb,eccv,9.67914521844777e-14
eccv,iccv,0.000364239912118525
iccv,eccv,0.00943237281783337
eccv,icdar,2.37871282803743e-07
icdar,eccv,4.27692451282213e-81
icml,eccv,0.00135206351986398
eccv,icpr,5.36140694982271e-07
icpr,eccv,0.00133319570874927
eccv,icra,0.0047088488405359
icra,eccv,0.000328679969724301
eccv,ictai,8.46929919564121e-05
eccv,ijcai,1.49705171563542e-94
ijcai,eccv,1.02500888018188e-18
eccv,ml,7.26522936163335e-05
ml,eccv,5.52559635851112e-07
nips,eccv,0.000174531474809005
uai,eccv,0.00231070457372885
iccv,emnlp,3.46767037173847e-05
emnlp,icpr,9.19570657561621e-31
emnlp,icra,0.00559035690782498
ilp,emnlp,3.01959600069853e-123
ml,emnlp,0.00694811762013864
emnlp,naacl,0.00242177859902123
emnlp,nips,0.001094993069918
nips,emnlp,0.000639544984149672
gecco,icann,1.46657480414032e-05
icann,gecco,1.21422165436949e-119
gecco,icb,0
gecco,icml,5.93797713988349e-103
gecco,iconip,2.08928257104262e-77
iconip,gecco,0.00670277939704604
gecco,icpr,4.43287962195204e-21
icpr,gecco,2.17853595414779e-25
gecco,icra,1.82036076594794e-12
icra,gecco,2.22757530891325e-11
ictai,gecco,7.40867309769209e-31
gecco,ijcai,4.43004019128828e-34
ijcai,gecco,2.6890609966424e-05
gecco,ijcnn,7.03301465840218e-150
ijcnn,gecco,0.000279884075886355
ilp,gecco,0.000599927723704605
gecco,ml,8.51037765737003e-134
pricai,gecco,0.00254562462113817
icb,icann,0.000261416561275556
icann,iconip,0.0041533717033015
iconip,icann,0.00490780630135688
icann,icpr,0.00993882982720511
icra,icann,0.00688691248200001
ijcai,icann,0.00636898803618487
icann,ijcnn,0.00096805267710467
ijcnn,icann,4.15640269002045e-09
icann,naacl,1.22227715230215e-42
naacl,icann,5.59647454711947e-06
icann,pricai,0.000814876662057961
pricai,icann,0.00115181681075137
pris,icann,0.00496643401801852
icann,uai,5.76914242306434e-30
icaps,ml,8.21734098559622e-46
icaps,pricai,0.0054622064451076
icb,iccv,9.16200467637983e-27
iccv,icb,0.00306227308684619
icb,icdar,2.56606248166852e-214
icdar,icb,0.00258816267280211
icb,icpr,3.54690532375502e-08
icpr,icb,0.000150743912103072
icb,icra,8.9085309548369e-64
icb,nips,6.01238807934269e-244
iccbr,icdar,5.32879697631701e-169
iccbr,iconip,0.00322947045835452
iconip,iccbr,7.26335253255553e-121
ictai,iccbr,5.18904918172676e-31
iccbr,ilp,6.72817761650583e-122
ilp,iccbr,0.00614612164957282
iccbr,kr,0.00370537142084723
iccbr,ml,0.00612200689112102
pricai,iccbr,8.42064279459677e-05
iccv,icdar,0.0013332873419391
icdar,iccv,0.000428469149642929
iccv,icml,0.00263531039369685
icml,iccv,0.00497828084528273
iccv,iconip,0.00911189332613466
iconip,iccv,0.00117374037019818
ictai,iccv,8.41230056840604e-06
iccv,ml,0.0026826404479302
ml,iccv,4.1509388993287e-05
iccv,naacl,5.57370659314994e-135
nips,iccv,0.002915033357783
iccv,uai,0.000483183049041507
uai,iccv,0.00704771630295268
icdar,icpr,0.0041179937610737
icpr,icdar,0.000468868002695428
ijcnn,icdar,8.39911597930119e-323
icdar,ilp,0
icdar,nips,2.25187324722078e-05
nips,icdar,0.000241110312136947
icml,iconip,0.000153542262012702
iconip,icml,0.00860016123486632
icml,icpr,0.000343790171179936
icpr,icml,4.90727228716341e-06
icml,ijcnn,3.60181487220939e-08
icml,naacl,0.000203944279368538
nips,icml,2.99239497240531e-05
icml,uai,0.00968432765148293
icpr,iconip,6.70154016695237e-06
ictai,iconip,0.000765320241626922
ijcai,iconip,0.00592761235908838
iconip,naacl,2.49627529714456e-229
naacl,iconip,4.12276885074805e-08
iconip,nips,0.00124712219604987
iconip,pricai,0.00168591856042191
icra,icpr,0.00855485467677305
ijcai,icpr,2.49227120438993e-05
ijcnn,icpr,9.14420085031033e-06
icpr,ml,0.00478865661463946
ml,icpr,0.00342123253899761
icpr,naacl,1.72577356184268e-92
uai,icpr,0.000158556783836187
ictai,icra,0.00988114898749039
icra,ijcnn,1.8711098765587e-15
ijcnn,icra,1.32206756605878e-19
icra,ilp,2.95899727818303e-09
icra,naacl,6.70684247724119e-32
naacl,icra,1.82933695957765e-97
icra,pricai,4.57937590106537e-06
pricai,icra,0.00515923698071009
ictai,ilp,0.00271732498498411
ictai,kr,0.000417542095685481
kr,ictai,0.00315068193640704
ictai,naacl,9.25865047050697e-05
pricai,ictai,2.31661882605581e-07
ijcnn,ijcai,0
ilp,ijcai,0.00530351821356214
kr,ijcai,0.00218825771073538
ijcai,uai,0.00578463583126877
ml,ijcnn,8.07806644015414e-07
ijcnn,naacl,1.23072851366313e-185
naacl,ilp,1.28432705666902e-24
ilp,pricai,3.00453397153675e-05
uai,ilp,2.92514955260887e-05
nips,kr,5.69519041705293e-157
naacl,ml,0.00132012049936244
naacl,nips,2.65693718965107e-41
nips,naacl,0.00238747744626368
nips,pris,1.27075241947875e-78
nips,uai,8.29485355397973e-05
uai,nips,0.00951748062619312
