confFrom,confTo,pvalue
aamas,aaai,0.00101043347865287
accv,aaai,1.04142004179924e-05
aaai,connection,6.31639735147283e-77
aaai,eccv,0.000451762206422581
aaai,gecco,2.99312860463962e-10
gecco,aaai,6.50609536738693e-160
icpr,aaai,0.000440341553173683
aaai,icra,0.0016883424717469
icra,aaai,0.00432580258983812
ijcnn,aaai,4.07793740405221e-244
aaai,ml,0.000212803721600814
uai,aaai,0.000294392653808629
aamas,acl,0.00140888352940486
acl,aamas,0.000486195434721092
aamas,coling,3.69649545448423e-09
aamas,connection,5.09940693494309e-108
aamas,cvpr,1.40548106031008e-56
cvpr,aamas,0.00290335307890697
aamas,ecai,0.00380225715144656
gecco,aamas,0.00170303698950158
icdar,aamas,3.70387794297251e-282
iconip,aamas,1.37029396565565e-17
aamas,icpr,0.00434765008958641
icpr,aamas,2.12330018822887e-10
aamas,ictai,0.00367676227923041
aamas,ijcai,0.00531940514015137
aamas,ilp,0.00820343273176561
aamas,ml,0.00132668265494254
aamas,naacl,4.53042827794236e-06
aamas,nips,8.70256454598667e-05
aamas,uai,0.00337967777547193
cvpr,accv,0.000101145103272368
accv,ecai,0.00235623672421969
eccv,accv,0.00752441002153098
emnlp,accv,6.79244600252894e-09
accv,icann,1.07215518653573e-14
accv,icb,5.71088744879026e-05
icb,accv,1.59142098993158e-13
accv,icdar,6.26915106087813e-05
icdar,accv,0.00470255536260445
icml,accv,0.000844497117910234
accv,ijcai,0.00855644977368088
accv,ml,2.42002283343915e-14
accv,naacl,6.81352913341085e-247
nips,accv,0.0099603852570538
alt,acl,1.15156428570522e-16
acl,coling,2.24196733740181e-06
coling,acl,0.000116589836000642
acl,colt,6.33298854963055e-32
colt,acl,0
acl,cvpr,2.68436000018824e-07
cvpr,acl,5.3095345984518e-181
acl,eccv,9.2674202355608e-09
eccv,acl,6.47194619735672e-70
gecco,acl,0.000102139957035195
icann,acl,2.14139714729627e-78
acl,iccv,1.87216784093934e-12
iccv,acl,1.9109315039045e-188
acl,icml,0.00912096097778874
icml,acl,0.00497740711632832
acl,icpr,3.69583519891051e-08
icpr,acl,0.00529517068037577
acl,ijcai,2.93829321697461e-296
ijcai,acl,8.39278581031696e-08
acl,ilp,0.00439522350771271
acl,ml,0.00162252229791698
ml,acl,0.000931670331621871
naacl,acl,0.00638460684832482
nips,acl,0.00049452864657981
acl,pricai,0.00588034764640928
acl,uai,1.22715799039055e-06
uai,acl,0.00362168312572799
connection,alt,4.34245618269325e-199
alt,cvpr,9.71234604630306e-150
cvpr,alt,8.44271550729616e-05
emnlp,alt,0.00433671098606018
ictai,alt,1.48569114867417e-169
alt,ml,0.00497621981638754
alt,naacl,0.00862907930785213
alt,nips,6.64041999239317e-05
nips,alt,0.00428200754304008
alt,uai,1.91149785321417e-08
coling,bmvc,4.53087765789695e-261
bmvc,cvpr,0.000355934611822845
bmvc,ecai,0.000263423515570349
bmvc,eccv,0.00163122933677192
eccv,bmvc,0.000409431901985478
bmvc,gecco,4.4180116127014e-07
gecco,bmvc,6.6161940725229e-09
icb,bmvc,4.73865369689914e-11
bmvc,iccv,1.38889301085689e-07
iccv,bmvc,1.97033843701832e-05
